country,date,casesWeekly,casesDaily,movingAverage7Days,percentageIncreaseOfMA7Days
Cameroon,2020-11-16,271,38,81.71428571428571,-8.186195826645271
Cameroon,2020-11-17,271,38,74.42857142857143,-8.916083916083906
Cameroon,2020-11-18,271,38,67.14285714285714,-9.788867562380045
Cameroon,2020-11-19,271,38,59.857142857142854,-10.851063829787233
Cameroon,2020-11-20,271,38,52.57142857142857,-12.171837708830546
Cameroon,2020-11-21,271,38,45.285714285714285,-13.858695652173914
Cameroon,2020-11-22,271,38,38.0,-16.08832807570978
Cameroon,2020-11-23,836,119,49.57142857142857,30.451127819548862
Cameroon,2020-11-24,836,119,61.142857142857146,23.342939481268022
Cameroon,2020-11-25,836,119,72.71428571428571,18.92523364485981
Cameroon,2020-11-26,836,119,84.28571428571429,15.913555992141482
Cameroon,2020-11-27,836,119,95.85714285714286,13.728813559322028
Cameroon,2020-11-28,836,119,107.42857142857143,12.071535022354695
Cameroon,2020-11-29,836,119,119.0,10.771276595744684
Cameroon,2020-11-30,589,84,114.0,-4.201680672268903
Cameroon,2020-12-01,589,84,109.0,-4.385964912280704
Cameroon,2020-12-02,589,84,104.0,-4.587155963302747
Cameroon,2020-12-03,589,84,99.0,-4.807692307692313
Cameroon,2020-12-04,589,84,94.0,-5.05050505050505
Cameroon,2020-12-05,589,84,89.0,-5.319148936170215
Cameroon,2020-12-06,589,84,84.0,-5.61797752808989
Cameroon,2020-12-07,635,90,84.85714285714286,1.0204081632653184
Cameroon,2020-12-08,635,90,85.71428571428571,1.0101010101009944
Cameroon,2020-12-09,635,90,86.57142857142857,1.0000000000000009
Cameroon,2020-12-10,635,90,87.42857142857143,0.990099009900991
Cameroon,2020-12-11,635,90,88.28571428571429,0.9803921568627416
Cameroon,2020-12-12,635,90,89.14285714285714,0.9708737864077444
Cameroon,2020-12-13,635,90,90.0,0.9615384615384581
Cameroon,2020-12-14,607,86,89.42857142857143,-0.6349206349206327
Cameroon,2020-12-15,607,86,88.85714285714286,-0.6389776357827448
Cameroon,2020-12-16,607,86,88.28571428571429,-0.6430868167202508
Cameroon,2020-12-17,607,86,87.71428571428571,-0.6472491909385258
Cameroon,2020-12-18,607,86,87.14285714285714,-0.6514657980456029
Cameroon,2020-12-19,607,86,86.57142857142857,-0.6557377049180357
Cameroon,2020-12-20,607,86,86.0,-0.660066006600657
Cameroon,2020-12-21,490,70,83.71428571428571,-2.657807308970106
Cameroon,2020-12-22,490,70,81.42857142857143,-2.7303754266211455
Cameroon,2020-12-23,490,70,79.14285714285714,-2.807017543859658
Cameroon,2020-12-24,490,70,76.85714285714286,-2.8880866425992635
Cameroon,2020-12-25,490,70,74.57142857142857,-2.973977695167296
Cameroon,2020-12-26,490,70,72.28571428571429,-3.065134099616851
Cameroon,2020-12-27,490,70,70.0,-3.1620553359683834
Cameroon,2020-12-28,428,61,68.71428571428571,-1.836734693877562
Cameroon,2020-12-29,428,61,67.42857142857143,-1.8711018711018546
Cameroon,2020-12-30,428,61,66.14285714285714,-1.9067796610169552
Cameroon,2020-12-31,428,61,64.85714285714286,-1.943844492440594
Cameroon,2021-01-01,428,61,63.57142857142857,-1.982378854625555
Cameroon,2021-01-02,428,61,62.285714285714285,-2.0224719101123556
Cameroon,2021-01-03,428,61,61.0,-2.0642201834862317
Cameroon,2021-01-04,571,81,63.857142857142854,4.683840749414525
Cameroon,2021-01-05,571,81,66.71428571428571,4.4742729306487705
Cameroon,2021-01-06,571,81,69.57142857142857,4.282655246252687
Cameroon,2021-01-07,571,81,72.42857142857143,4.106776180698168
Cameroon,2021-01-08,571,81,75.28571428571429,3.9447731755424043
