country,date,currentInfected,casesDaily,movingAverage7Days,percentageIncreaseOfMA7Days,rank
area15,2020-01-19,46,8,4.571428571428571,23.076923076923062,8
area4,2020-01-19,41,9,4.714285714285714,22.222222222222232,9
area5,2020-01-19,30,3,3.7142857142857144,18.181818181818187,10
area3,2020-01-20,72,34,8.142857142857142,119.23076923076921,1
area1,2020-01-20,46,15,5.0,52.17391304347827,2
area13,2020-01-20,43,15,4.285714285714286,50.0,3
area6,2020-01-20,42,6,4.714285714285714,26.923076923076916,4
area10,2020-01-20,38,9,3.5714285714285716,25.0,5
area7,2020-01-20,39,3,4.285714285714286,19.999999999999996,6
area14,2020-01-20,51,11,5.0,16.666666666666675,7
area8,2020-01-20,32,2,3.5714285714285716,13.636363636363647,8
area9,2020-01-20,39,4,3.857142857142857,12.5,9
area11,2020-01-20,46,8,4.285714285714286,3.44827586206895,10
area2,2020-01-21,62,37,6.571428571428571,142.10526315789474,1
area8,2020-01-21,57,25,6.428571428571429,80.0,2
area12,2020-01-21,72,24,7.857142857142857,30.952380952380953,3
area13,2020-01-21,51,8,5.285714285714286,23.33333333333334,4
area6,2020-01-21,50,8,5.714285714285714,21.212121212121215,5
area0,2020-01-21,64,11,6.142857142857143,19.444444444444443,6
area7,2020-01-21,44,5,4.714285714285714,10.000000000000009,7
area11,2020-01-21,49,3,4.714285714285714,10.000000000000009,7
area15,2020-01-21,65,21,5.0,9.375,9
area1,2020-01-21,46,0,5.428571428571429,8.571428571428585,10
area4,2020-01-22,50,16,4.285714285714286,114.28571428571428,1
area10,2020-01-22,56,22,6.0,55.55555555555556,2
area14,2020-01-22,66,14,7.571428571428571,47.22222222222221,3
area11,2020-01-22,65,16,6.857142857142857,45.45454545454544,4
area9,2020-01-22,56,20,5.857142857142857,41.37931034482756,5
area7,2020-01-22,60,16,6.285714285714286,33.33333333333333,6
area3,2020-01-22,73,14,7.571428571428571,15.217391304347828,7
area12,2020-01-22,82,10,8.571428571428571,9.090909090909083,8
area0,2020-01-22,68,4,6.428571428571429,4.651162790697683,9
area8,2020-01-22,60,3,6.285714285714286,-2.2222222222222254,10
area5,2020-01-23,50,17,5.142857142857143,200.00000000000006,1
area4,2020-01-23,71,21,7.714285714285714,80.0,2
area15,2020-01-23,78,31,6.142857142857143,48.2758620689655,3
area13,2020-01-23,62,15,6.142857142857143,38.70967741935485,4
area9,2020-01-23,57,1,7.0,19.512195121951237,5
area6,2020-01-23,44,6,4.571428571428571,18.518518518518512,6
area0,2020-01-23,86,18,7.428571428571429,15.555555555555545,7
area3,2020-01-23,81,8,8.142857142857142,7.547169811320753,8
area7,2020-01-23,62,2,6.571428571428571,4.545454545454541,9
area8,2020-01-23,64,4,6.285714285714286,0.0,10
area1,2020-01-24,70,15,6.285714285714286,51.72413793103448,1
area10,2020-01-24,62,12,6.714285714285714,42.42424242424243,2
area12,2020-01-24,101,15,10.285714285714286,35.8490566037736,3
area14,2020-01-24,68,13,5.571428571428571,34.48275862068964,4
area6,2020-01-24,54,10,5.857142857142857,28.125,5
area3,2020-01-24,94,13,9.571428571428571,17.543859649122815,6
area7,2020-01-24,71,9,7.714285714285714,17.391304347826097,7
area9,2020-01-24,76,19,7.714285714285714,10.204081632653072,8
area5,2020-01-24,59,9,5.428571428571429,5.555555555555558,9
area0,2020-01-24,95,9,7.571428571428571,1.9230769230769162,10
area8,2020-01-25,69,21,6.857142857142857,182.3529411764706,1
area15,2020-01-25,95,25,8.142857142857142,119.23076923076921,2
area2,2020-01-25,77,23,7.857142857142857,66.66666666666666,3
area11,2020-01-25,68,2,6.285714285714286,51.72413793103448,4
area13,2020-01-25,73,13,7.0,36.11111111111109,5
area14,2020-01-25,70,2,6.0,7.692307692307687,6
area4,2020-01-25,65,9,4.714285714285714,-8.333333333333337,7
area6,2020-01-25,65,11,5.142857142857143,-12.195121951219502,8
area10,2020-01-25,63,1,5.714285714285714,-14.893617021276595,9
area5,2020-01-25,58,-1,4.428571428571429,-18.42105263157895,10
area7,2020-01-26,75,15,5.571428571428571,69.56521739130434,1
area1,2020-01-26,79,7,6.857142857142857,41.176470588235304,2
area0,2020-01-26,98,12,6.285714285714286,25.71428571428571,3
area3,2020-01-26,85,-2,6.714285714285714,6.818181818181812,4
area12,2020-01-26,96,14,6.428571428571429,-2.1739130434782483,5
area9,2020-01-26,75,8,5.714285714285714,-6.976744186046513,6
area5,2020-01-26,57,-1,3.857142857142857,-12.903225806451612,7
area13,2020-01-26,70,-3,6.0,-14.28571428571429,8
area2,2020-01-26,83,6,6.714285714285714,-14.54545454545454,9
area4,2020-01-26,68,3,3.857142857142857,-18.181818181818187,10
area4,2020-01-27,81,13,5.428571428571429,40.74074074074075,1
area15,2020-01-27,91,6,6.714285714285714,20.51282051282053,2
area6,2020-01-27,70,9,4.0,11.99999999999999,3
area0,2020-01-27,101,3,6.857142857142857,9.090909090909083,4
area10,2020-01-27,65,10,3.857142857142857,3.8461538461538547,5
area2,2020-01-27,73,-10,6.857142857142857,2.127659574468077,6
area5,2020-01-27,62,5,3.7142857142857144,-3.703703703703698,7
area8,2020-01-27,62,0,4.285714285714286,-6.25,8
area12,2020-01-27,88,-8,5.714285714285714,-11.111111111111116,9
area14,2020-01-27,74,4,3.2857142857142856,-23.33333333333334,10
area3,2020-01-28,110,27,7.285714285714286,363.6363636363637,1
area7,2020-01-28,73,22,4.142857142857143,141.66666666666669,2
area5,2020-01-28,72,10,5.571428571428571,49.99999999999998,3
area10,2020-01-28,72,7,5.428571428571429,40.74074074074075,4
area14,2020-01-28,81,7,4.142857142857143,26.086956521739157,5
area4,2020-01-28,73,-8,5.571428571428571,2.631578947368407,6
area11,2020-01-28,73,2,3.4285714285714284,-4.000000000000014,7
area1,2020-01-28,61,-5,2.142857142857143,-25.0,8
area9,2020-01-28,54,-14,2.5714285714285716,-37.93103448275862,9
area13,2020-01-28,67,-6,2.2857142857142856,-46.666666666666664,10
area0,2020-01-29,87,14,2.7142857142857144,111.11111111111111,1
area6,2020-01-29,64,0,3.7142857142857144,85.71428571428572,2
area15,2020-01-29,83,-2,5.142857142857143,80.0,3
area13,2020-01-29,66,-1,2.7142857142857144,18.75000000000002,4
area2,2020-01-29,69,7,1.5714285714285714,0.0,5
area1,2020-01-29,60,-1,1.4285714285714286,-33.33333333333333,6
area4,2020-01-29,71,-2,3.0,-46.15384615384615,7
area5,2020-01-29,51,-21,2.5714285714285716,-53.84615384615383,8
area10,2020-01-29,71,-1,2.142857142857143,-60.52631578947369,9
area8,2020-01-29,62,-1,0.2857142857142857,-66.66666666666667,10
area7,2020-01-30,49,-7,-1.8571428571428572,225.00000000000006,1
area14,2020-01-30,72,0,2.4285714285714284,183.33333333333334,2
area12,2020-01-30,71,-4,-2.142857142857143,114.28571428571428,3
area2,2020-01-30,63,-6,1.4285714285714286,-9.090909090909083,4
area1,2020-01-30,64,4,1.2857142857142858,-9.999999999999998,5
area13,2020-01-30,70,4,1.1428571428571428,-57.89473684210527,6
area15,2020-01-30,92,9,2.0,-61.111111111111114,7
area6,2020-01-30,48,-16,0.5714285714285714,-84.61538461538461,8
area10,2020-01-30,47,-24,-0.42857142857142855,-120.0,9
area4,2020-01-30,66,-5,-0.7142857142857143,-123.80952380952381,10
area10,2020-01-31,38,-9,-3.4285714285714284,700.0,1
area3,2020-01-31,62,-11,-4.571428571428571,300.0,2
area9,2020-01-31,49,0,-3.857142857142857,237.50000000000006,3
area5,2020-01-31,43,2,-2.2857142857142856,77.77777777777774,4
area0,2020-01-31,67,-3,-4.0,75.0,5
area12,2020-01-31,82,11,-2.7142857142857144,26.666666666666682,6
area4,2020-01-31,50,-16,-0.8571428571428571,19.999999999999996,7
area6,2020-01-31,57,9,0.42857142857142855,-25.0,8
area7,2020-01-31,65,16,-0.8571428571428571,-53.846153846153854,9
area2,2020-01-31,53,-10,-0.14285714285714285,-110.00000000000001,10
area2,2020-02-01,45,-8,-4.571428571428571,3100.0,1
area15,2020-02-01,59,-7,-5.142857142857143,800.0000000000002,2
area13,2020-02-01,35,-12,-5.428571428571429,192.3076923076923,3
area7,2020-02-01,47,-18,-1.8571428571428572,116.6666666666667,4
area14,2020-02-01,53,-7,-2.4285714285714284,112.5,5
area12,2020-02-01,50,-32,-4.571428571428571,68.42105263157893,6
area11,2020-02-01,47,-6,-3.0,61.53846153846154,7
area9,2020-02-01,33,-16,-4.857142857142857,25.92592592592591,8
area4,2020-02-01,58,8,-1.0,16.666666666666675,9
area10,2020-02-01,37,-1,-3.7142857142857144,8.333333333333348,10
area1,2020-02-02,32,-26,-6.714285714285714,235.71428571428572,1
area7,2020-02-02,32,-15,-6.142857142857143,230.7692307692308,2
area4,2020-02-02,47,-11,-3.0,200.0,3
area5,2020-02-02,31,-17,-3.7142857142857144,160.0,4
area0,2020-02-02,47,-17,-7.285714285714286,131.81818181818184,5
area3,2020-02-02,43,-23,-6.0,100.0,6
area14,2020-02-02,42,-11,-4.0,64.70588235294119,7
area11,2020-02-02,38,-9,-4.714285714285714,57.14285714285714,8
area6,2020-02-02,25,-17,-5.142857142857143,56.52173913043479,9
